Score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1395,SEA,NYG,DAL,SF,PHI,LAR,PIT,BUF,CLV,CIN,MIA,TEN,NYJ,BLT,LAC,KC,JAX,NO
1395,WAS,BUF,DAL,LAC,CIN,MIA,PIT,BLT,CLV,NE,SEA,JAX,NYJ,NO,TEN,KC,PHI,SF
1395,WAS,BUF,CIN,SF,MIA,JAX,SEA,DAL,NE,PIT,LAC,TEN,NYJ,BLT,CLV,KC,PHI,NO
1395,BLT,DEN,DAL,SF,PHI,JAX,SEA,BUF,CLV,CIN,DET,KC,PIT,MIA,LAC,NYJ,NYG,NO
1395,SEA,BUF,CIN,SF,PHI,JAX,CLV,LAC,NE,PIT,MIA,DAL,NYJ,BLT,TEN,KC,NYG,NO
1395,BLT,NYG,BUF,PIT,CIN,JAX,SEA,LAC,CLV,NE,MIA,DAL,NYJ,NO,TEN,KC,PHI,SF
1395,BLT,NYG,JAX,SF,CIN,LAR,SEA,BUF,CLV,PIT,MIA,DAL,NYJ,LAC,TEN,KC,PHI,NO
1395,WAS,BUF,DAL,PHI,DET,JAX,SEA,BLT,CLV,CIN,SF,KC,PIT,MIA,LAC,NYJ,NYG,NO
1395,WAS,NYG,DAL,LAC,PHI,MIA,PIT,BUF,CLV,CIN,SEA,NO,NYJ,BLT,TEN,KC,JAX,SF
1395,WAS,NYG,DAL,SF,MIA,LAR,SEA,BUF,CLV,CIN,JAX,KC,PIT,BLT,LAC,NYJ,PHI,NO
1395,WAS,DEN,DAL,LAC,PHI,MIA,PIT,BUF,CLV,CIN,SEA,JAX,NYJ,BLT,TEN,KC,NYG,SF
1395,WAS,BUF,CIN,SF,MIA,JAX,SEA,DAL,NE,PIT,LAC,TEN,NYJ,BLT,CLV,KC,PHI,NO
1395,WAS,SF,DAL,LAC,CIN,MIA,SEA,BUF,CLV,PIT,DET,JAX,NYJ,BLT,TEN,KC,PHI,NO
1394,BLT,NYG,DAL,LAC,CIN,JAX,SEA,BUF,NE,CHI,SF,KC,PIT,MIA,CLV,NYJ,PHI,NO
1394,WAS,NYG,DAL,PHI,DET,MIA,SEA,BUF,CLV,CIN,SF,TEN,NYJ,BLT,LAC,KC,JAX,NO
